productType,name,description,categories,tax,slug,variantId,code basis,sku,,prices,uid,approved,size,colorCode,colorCodeName,codeFilterColor,codeFilterColorName,restricted,saleableOnStock,maxOrderQuantity,ean,gender,highlighted,new,piecesSold
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,3,WFL11005,M-105368,5495,EUR 54950,M-105368,YES,L,13,navy,1,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,4,WFL11005,M-105369,5495,EUR 54950,M-105369,YES,XL,13,navy,1,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,5,WFL11005,M-105370,5495,EUR 54950,M-105370,YES,S,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,6,WFL11005,M-105371,5495,EUR 54950,M-105371,YES,M,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,7,WFL11005,M-105372,5495,EUR 54950,M-105372,YES,L,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,8,WFL11005,M-105373,5495,EUR 54950,M-105373,YES,XL,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
clothing,Softshell,"Wings for Life<br/>Softshelljacke<br/>Farbe:  navy<br/>Material: 3 Lagen Softshellmaterial<br/>- Außenstoff: Softshellshell 98% Polyester 2% Elastan<br/>- Mittlerer Stoff: Membrane mit einer Wassersäule von 8000mm und einer Wasserdampfdurchlässigkeit von 3000mm<br/>- Innenstoff: 100% Polyester Fleece<br/><br/>
Den technisch hochwertigen und funktionellen Look erhält die Jacke durch die reflektierenden, gelaserten Tapes um Brust- und Ärmeltaschen, als auch durch die reflektierenden Pipings an der Kapuze. Zusätzliche Funktion garantieren die wasserfesten Zipper an Brusttasche und Ärmeltaschen. Sowohl der Saum als auch die Kapuze lassen sich mittels Kordelzug und Stopper regulieren. Die Ärmelbündchen sind aus hochwertigen Powerstretch Material und halten kalten Wind draußen.<br/><br/>

DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE 
RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,softshell-jacke,1,WFL11007,M-105380,13995,EUR 139950,M-105380,YES,M,13,navy,1,,NO,YES,10, ,female,,NO,0
,Softshell,"Wings for Life<br/>Softshelljacke<br/>Farbe:  navy<br/>Material: 3 Lagen Softshellmaterial<br/>- Außenstoff: Softshellshell 98% Polyester 2% Elastan<br/>- Mittlerer Stoff: Membrane mit einer Wassersäule von 8000mm und einer Wasserdampfdurchlässigkeit von 3000mm<br/>- Innenstoff: 100% Polyester Fleece<br/><br/>
Den technisch hochwertigen und funktionellen Look erhält die Jacke durch die reflektierenden, gelaserten Tapes um Brust- und Ärmeltaschen, als auch durch die reflektierenden Pipings an der Kapuze. Zusätzliche Funktion garantieren die wasserfesten Zipper an Brusttasche und Ärmeltaschen. Sowohl der Saum als auch die Kapuze lassen sich mittels Kordelzug und Stopper regulieren. Die Ärmelbündchen sind aus hochwertigen Powerstretch Material und halten kalten Wind draußen.<br/><br/>

DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE 
RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,softshell-jacke,2,WFL11007,M-105381,13995,EUR 139950,M-105381,YES,L,13,navy,1,,NO,YES,10, ,female,,NO,0
,Softshell,"Wings for Life<br/>Softshelljacke<br/>Farbe:  navy<br/>Material: 3 Lagen Softshellmaterial<br/>- Außenstoff: Softshellshell 98% Polyester 2% Elastan<br/>- Mittlerer Stoff: Membrane mit einer Wassersäule von 8000mm und einer Wasserdampfdurchlässigkeit von 3000mm<br/>- Innenstoff: 100% Polyester Fleece<br/><br/>
Den technisch hochwertigen und funktionellen Look erhält die Jacke durch die reflektierenden, gelaserten Tapes um Brust- und Ärmeltaschen, als auch durch die reflektierenden Pipings an der Kapuze. Zusätzliche Funktion garantieren die wasserfesten Zipper an Brusttasche und Ärmeltaschen. Sowohl der Saum als auch die Kapuze lassen sich mittels Kordelzug und Stopper regulieren. Die Ärmelbündchen sind aus hochwertigen Powerstretch Material und halten kalten Wind draußen.<br/><br/>

DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE 
RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,softshell-jacke,3,WFL11007,M-105382,13995,EUR 139950,M-105382,YES,XL,13,navy,1,,NO,YES,10, ,female,,NO,0
clothing,WFL Functional T-Shirt,"Wings for Life Funktions T-shirt<br/> 
Material: 100% Polyester<br/> 
Farbe: weiss<br/>
<b>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!</b>",wfl-women-t-shirts,full-tax,functional-t-shirt,1,WFL12002,M-107378,3495,EUR 34950,M-107378,YES,S,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
clothing,Functional Running Shirt,"<p>Klare Linien und Konturen bezeichnen dieses funktionelle Kurzarmlaufshirt. Durch N&auml;hte im Schulter-, Brust- und Taillenbereich f&uuml;hlt es sich an wie eine zweite Haut und gibt genug Bewegungsfreiheit um sportlich durchzustarten.<br />Material: 81% Polyester, 19 % Elasthan</p>
<p><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,functional-running-shirt,1,WFL12007,M-109286,2995,EUR 29950,M-109286,YES,S,13,navy,1,,NO,YES,10, ,female,,YES,0
,Functional Running Shirt,"<p>Klare Linien und Konturen bezeichnen dieses funktionelle Kurzarmlaufshirt. Durch N&auml;hte im Schulter-, Brust- und Taillenbereich f&uuml;hlt es sich an wie eine zweite Haut und gibt genug Bewegungsfreiheit um sportlich durchzustarten.<br />Material: 81% Polyester, 19 % Elasthan</p>
<p><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,functional-running-shirt,2,WFL12007,M-109434,2995,EUR 29950,M-109434,YES,M,13,navy,1,,NO,YES,10, ,female,,YES,0
,Functional Running Shirt,"<p>Klare Linien und Konturen bezeichnen dieses funktionelle Kurzarmlaufshirt. Durch N&auml;hte im Schulter-, Brust- und Taillenbereich f&uuml;hlt es sich an wie eine zweite Haut und gibt genug Bewegungsfreiheit um sportlich durchzustarten.<br />Material: 81% Polyester, 19 % Elasthan</p>
<p><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,functional-running-shirt,3,WFL12007,M-109435,2995,EUR 29950,M-109435,YES,L,13,navy,1,,NO,YES,10, ,female,,YES,0
,Functional Running Shirt,"<p>Klare Linien und Konturen bezeichnen dieses funktionelle Kurzarmlaufshirt. Durch N&auml;hte im Schulter-, Brust- und Taillenbereich f&uuml;hlt es sich an wie eine zweite Haut und gibt genug Bewegungsfreiheit um sportlich durchzustarten.<br />Material: 81% Polyester, 19 % Elasthan</p>
<p><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,functional-running-shirt,4,WFL12007,M-109472,2995,EUR 29950,M-109472,YES,XL,13,navy,1,,NO,YES,10, ,female,,YES,0
clothing,Hoody Ladies,"<p>Unaufdringlicher&nbsp; Schick und klare Linien bezeichnen diese stylische Kapuzenjacke mit schmaler Passform von Wings for Life. Rippb&uuml;ndchen an &Auml;rmeln und Taille sorgen f&uuml;r perfekten Sitz. Besondere Hingucker sind die Wings for Life Schriftz&uuml;ge an der linken Brust und rechten Tasche.<br />Material: 97% Baumwolle, 3% Elasthan<br /><br />&bull;&nbsp;&nbsp;&nbsp; Kapuzenjacke mit Zip<br />&bull;&nbsp;&nbsp;&nbsp; Rippb&uuml;ndchen<br />&bull;&nbsp;&nbsp;&nbsp; Seitentaschen<br />&bull;&nbsp;&nbsp;&nbsp; Wings for Life Schriftz&uuml;ge <br /><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,hoody,1,WFL12010,M-110421,5495,EUR 54950,M-110421,YES,M,13,navy,1,,NO,YES,10, ,female,,YES,0
,Hoody Ladies,"<p>Unaufdringlicher&nbsp; Schick und klare Linien bezeichnen diese stylische Kapuzenjacke mit schmaler Passform von Wings for Life. Rippb&uuml;ndchen an &Auml;rmeln und Taille sorgen f&uuml;r perfekten Sitz. Besondere Hingucker sind die Wings for Life Schriftz&uuml;ge an der linken Brust und rechten Tasche.<br />Material: 97% Baumwolle, 3% Elasthan<br /><br />&bull;&nbsp;&nbsp;&nbsp; Kapuzenjacke mit Zip<br />&bull;&nbsp;&nbsp;&nbsp; Rippb&uuml;ndchen<br />&bull;&nbsp;&nbsp;&nbsp; Seitentaschen<br />&bull;&nbsp;&nbsp;&nbsp; Wings for Life Schriftz&uuml;ge <br /><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,hoody,2,WFL12010,M-110422,5495,EUR 54950,M-110422,YES,L,13,navy,1,,NO,YES,10, ,female,,YES,0
,Hoody Ladies,"<p>Unaufdringlicher&nbsp; Schick und klare Linien bezeichnen diese stylische Kapuzenjacke mit schmaler Passform von Wings for Life. Rippb&uuml;ndchen an &Auml;rmeln und Taille sorgen f&uuml;r perfekten Sitz. Besondere Hingucker sind die Wings for Life Schriftz&uuml;ge an der linken Brust und rechten Tasche.<br />Material: 97% Baumwolle, 3% Elasthan<br /><br />&bull;&nbsp;&nbsp;&nbsp; Kapuzenjacke mit Zip<br />&bull;&nbsp;&nbsp;&nbsp; Rippb&uuml;ndchen<br />&bull;&nbsp;&nbsp;&nbsp; Seitentaschen<br />&bull;&nbsp;&nbsp;&nbsp; Wings for Life Schriftz&uuml;ge <br /><br /><strong>Die Reinerl&ouml;se flie&szlig;en zu hundert Prozent in aussichtsreiche Forschungsprojekte zur Heilung von Querschnittsl&auml;hmung!&nbsp;</strong> </p>",wfl-women-t-shirts,full-tax,hoody,3,WFL12010,M-110423,5495,EUR 54950,M-110423,YES,XL,13,navy,1,,NO,YES,10, ,female,,YES,0
